Day,Epoch,Train Loss,Train MSE,Train N,Test Loss,Test MSE,Test N
0,-1,0,0,0,352274.4480113636,352274.45852272725,21965
0,1,4790.701845041623,4790.7018468215265,176512,3805.260149591619,3805.260284978693,21965
0,2,494.4853197920768,494.48533307223465,176512,149.14759126143022,149.14759368896483,21965
0,3,396.4084863371109,396.40849586737386,176512,132.7706372347745,132.77063716541636,21965
0,4,393.9037972403815,393.9038081185329,176512,138.02777113481002,138.0277756430886,21965
0,5,385.42665526929017,385.42666280364125,176512,151.20440736250444,151.20440999811345,21965
0,6,379.4080146711788,379.40802673305285,176512,130.25684051513673,130.256843289462,21965
0,7,412.44904341217074,412.44905479146024,176512,135.51882920698685,135.51883107965642,21965
0,8,410.5783841834063,410.57839570094075,176512,178.29324257590554,178.2932442405007,21965
0,9,407.91774469809786,407.91775161898687,176512,202.93259069269354,202.93259485418147,21965
0,10,390.4401288145936,390.44013830165494,176512,128.99265760941938,128.99266024502842,21965
1,1,1455.9476027715773,1455.947641229954,58733,587.0017279547613,587.0017122835726,7381
1,2,418.4701255227433,418.4701344756042,58733,127.99640490557697,127.99640923577385,7381
2,1,1524.4327728683884,1524.4328368934425,59088,2480.755518863076,2480.755595960115,7405
2,2,521.4365868181795,521.4365968446474,59088,161.63105171605162,161.63105573152242,7405
3,1,1560.3921041197696,1560.392147361626,58829,447.9907960633974,447.9908166833826,7258
3,2,443.1179030078953,443.1179128614523,58829,302.27587230785474,302.2758805558488,7258
4,1,1567.9679416462527,1567.967964870647,58933,965.7952336491766,965.795274889147,7331
4,2,407.1721918138407,407.17219401214084,58933,137.22677529824747,137.2267765354466,7331
5,1,1917.3156295517745,1917.3156608969477,58899,2402.2088524070946,2402.2088722022804,7330
5,2,446.20958032123116,446.20958546783964,58899,106.12115272315773,106.12115581615551,7330
6,1,1171.9173766986744,1171.9173986074086,59120,1028.9633013751056,1028.9633475638725,7331
6,2,431.6923691775348,431.69237616255475,59120,123.70301014668233,123.703012002481,7331
7,1,2253.345566261421,2253.34558767545,58938,2541.8432552939967,2541.8433131167762,7584
7,2,448.46455522957496,448.46456053135756,58938,144.2100217718827,144.2100221734298,7584
8,1,1781.7272500278189,1781.7273178100586,58719,627.0339612458881,627.0339532149466,7450
8,2,378.97255257846547,378.97256438586174,58719,116.14065009669254,116.14065571835167,7450
9,1,1608.3638673730798,1608.3639252636883,59119,2671.9849292652025,2671.9850150443413,7337
9,2,420.2954279409872,420.29544242652685,59119,109.52284240722656,109.52284797462258,7337
10,1,1249.0379648981868,1249.0379835592735,59062,1772.081128572163,1772.0812024568256,7470
10,2,390.50573127334184,390.50574168643436,59062,113.39860594900031,113.39860755518863,7470
11,1,1565.048916172337,1565.0489422050682,59199,2754.0805598078546,2754.080619193412,7341
11,2,483.74058865212106,483.74060202933646,59199,203.3807768950591,203.3807839058541,7341
12,1,1533.3136167881853,1533.313662823176,58936,1595.7510326488598,1595.7510788376267,7396
12,2,395.4066259351827,395.4066350904562,58936,101.92383492959512,101.92383678539379,7396
13,1,1672.3435611013638,1672.3435966362388,58937,659.1988904798353,659.1989168734164,7327
13,2,358.00455580889167,358.00456589520985,58937,127.09286643363335,127.09286870183172,7327
14,1,2015.9566305005872,2015.9566677712105,59019,2178.935938784951,2178.9360094572367,7443
14,2,421.265192573135,421.2651993777301,59019,209.7565508390728,209.7565548545436,7443
15,1,1166.8137692631901,1166.813793440123,59061,194.57402801513672,194.5740328337017,7421
15,2,342.8509545455108,342.85096003558186,59061,96.06928735030324,96.06928895649158,7421
16,1,1709.6745125387802,1709.674546897006,58686,864.6344274572424,864.6344719964105,7302
16,2,335.89086389866003,335.89087199516035,58686,280.14292000435495,280.1429191795555,7302
17,1,1321.1351860721095,1321.1352312775696,58633,3014.6955500422296,3014.6956490181587,7281
17,2,429.1315474996761,429.13155686774223,58633,96.38842835297456,96.38843123977249,7281
18,1,1099.2356540913484,1099.235684401324,58764,535.2980290463096,535.2980491236636,7529
18,2,328.97805126994643,328.978063336846,58764,112.27442630968596,112.27443112825092,7529
19,1,1313.4487773350306,1313.448793995137,58798,2177.2528439083617,2177.2528801995354,7206
19,2,371.436068087208,371.4360699556312,58798,153.06544412148966,153.06544700828758,7206
20,1,1524.033849270061,1524.0338734772247,58847,322.32331641944677,322.3233230178421,7378
20,2,367.06536880751787,367.0653807300632,58847,147.18542604188661,147.1854342898807,7378
21,1,1490.2138181524763,1490.2138613943325,58805,7389.270662006579,7389.2708547491775,7423
21,2,586.7234831987802,586.7234994403386,58805,147.7524693137721,147.7524656998484,7423
22,1,2094.949817916974,2094.949878043869,58751,1941.3887807485219,1941.3888038429054,7371
22,2,384.52457306012,384.524583466199,58751,121.14160527409734,121.14161001669395,7371
23,1,991.1763528597556,991.1763765496722,58956,348.21972573770057,348.21974058408995,7360
23,2,325.3020466691357,325.30205339334776,58956,120.97296039478199,120.97296472497888,7360
24,1,798.8697857872914,798.8698183479955,58950,274.2111157869038,274.2111198023746,7446
24,2,267.61400213726495,267.6140072580111,58950,104.62440028943513,104.62440089175576,7446
25,1,1038.2751773404586,1038.2752012962367,58429,1006.7704644454153,1006.7704837196752,7426
25,2,304.46224155360926,304.462249365276,58429,146.89460613853052,146.8946109570955,7426
26,1,1164.5811630249023,1164.5811990252996,58873,289.36322186444255,289.363222689242,7363
26,2,272.6004935571703,272.60050320382845,58873,115.72134770573797,115.72134873673723,7363
27,1,825.2824768583654,825.2824905654131,58887,740.8758429449957,740.8758363466005,7257
27,2,283.6424789428711,283.64248752917274,58887,97.27214957572319,97.27214998812289,7257
28,1,747.921034783832,747.9210524736825,58940,1491.219058388158,1491.2191322728206,7457
28,2,267.3470844074831,267.3470923472259,58940,120.12794916253341,120.12795337877776,7457
29,1,714.0063938464149,714.0064020706435,58951,838.4606851113809,838.4607164537584,7393
29,2,287.660951879469,287.66095769849875,58951,100.2429850810283,100.24298734922667,7393
30,1,1020.1122320918713,1020.1122605145988,58939,837.1240218313117,837.124068410773,7449
30,2,263.1931184154446,263.1931262258756,58939,110.35309299669768,110.35309520520661,7449
31,1,729.6071553117138,729.6071870965472,58863,1735.6630694415119,1735.663112331081,7337
31,2,284.3493825621524,284.34939298468123,58863,124.98913450498839,124.9891361545872,7337
32,1,655.2721644550764,655.2721766257773,58644,1920.0218670819256,1920.0218802787163,7372
32,2,250.49624088832311,250.4962450922752,58644,126.89290907576277,126.89291072536159,7372
33,1,663.1084050582627,663.1084166445975,58910,476.88132115414265,476.8813340036493,7423
33,2,219.2881759902178,219.28818271442995,58910,116.06451777407997,116.06452379728618,7423
34,1,586.2958863232586,586.2958976642506,29575,174.85461666709497,174.8546182732833,3722
34,2,201.38411083736935,201.38411599236565,29575,94.12064321417557,94.12064522191098,3722
